city,city_ascii,country,lat,lng
Tokyo,Tokyo,Japan,35.6897,139.6922
Jakarta,Jakarta,Indonesia,-6.2146,106.8451
Delhi,Delhi,India,28.66,77.23
Mumbai,Mumbai,India,18.9667,72.8333
Manila,Manila,Philippines,14.6,120.9833
Shanghai,Shanghai,China,31.1667,121.4667
São Paulo,Sao Paulo,Brazil,-23.5504,-46.6339
Seoul,Seoul,"Korea, South",37.56,126.99
Mexico City,Mexico City,Mexico,19.4333,-99.1333
Guangzhou,Guangzhou,China,23.1288,113.259
Beijing,Beijing,China,39.905,116.3914
Cairo,Cairo,Egypt,30.0561,31.2394
New York,New York,United States,40.6943,-73.9249
Kolkāta,Kolkata,India,22.5411,88.3378
Moscow,Moscow,Russia,55.7558,37.6178
Bangkok,Bangkok,Thailand,13.75,100.5167
Buenos Aires,Buenos Aires,Argentina,-34.5997,-58.3819
Shenzhen,Shenzhen,China,22.535,114.054
Dhaka,Dhaka,Bangladesh,23.7289,90.3944
Lagos,Lagos,Nigeria,6.45,3.4
Istanbul,Istanbul,Turkey,41.01,28.9603
Ōsaka,Osaka,Japan,34.75,135.4601
Karachi,Karachi,Pakistan,24.86,67.01
Bangalore,Bangalore,India,12.9699,77.598
Tehran,Tehran,Iran,35.7,51.4167
Kinshasa,Kinshasa,Congo (Kinshasa),-4.3233,15.3081
Ho Chi Minh City,Ho Chi Minh City,Vietnam,10.8167,106.6333
Los Angeles,Los Angeles,United States,34.1139,-118.4068
Rio de Janeiro,Rio de Janeiro,Brazil,-22.9083,-43.1964
Nanyang,Nanyang,China,32.9987,112.5292
Baoding,Baoding,China,38.8671,115.4845
Chennai,Chennai,India,13.0825,80.275
Chengdu,Chengdu,China,30.66,104.0633
Lahore,Lahore,Pakistan,31.5497,74.3436
Paris,Paris,France,48.8566,2.3522
London,London,United Kingdom,51.5072,-0.1275
Linyi,Linyi,China,35.0606,118.3425
Tianjin,Tianjin,China,39.1467,117.2056
Shijiazhuang,Shijiazhuang,China,38.0422,114.5086
Zhoukou,Zhoukou,China,33.625,114.6418
Lima,Lima,Peru,-12.05,-77.0333
Hyderābād,Hyderabad,India,17.3667,78.4667
Handan,Handan,China,36.6116,114.4894
Bogotá,Bogota,Colombia,4.6126,-74.0705
Weifang,Weifang,China,36.7167,119.1
Nagoya,Nagoya,Japan,35.1167,136.9333
Wuhan,Wuhan,China,30.5872,114.2881
Heze,Heze,China,35.2333,115.4333
Ganzhou,Ganzhou,China,25.8292,114.9336
Tongshan,Tongshan,China,34.261,117.1859
Chicago,Chicago,United States,41.8373,-87.6862
Luanda,Luanda,Angola,-8.8383,13.2344
Changsha,Changsha,China,28.1987,112.9709
Fuyang,Fuyang,China,32.8986,115.8045
Kuala Lumpur,Kuala Lumpur,Malaysia,3.1478,101.6953
Jining,Jining,China,35.4,116.5667
Dongguan,Dongguan,China,23.0475,113.7493
Jinan,Jinan,China,36.6667,116.9833
Foshan,Foshan,China,23.0292,113.1056
Hanoi,Hanoi,Vietnam,21.0245,105.8412
Pune,Pune,India,18.5196,73.8553
Chongqing,Chongqing,China,29.5628,106.5528
Changchun,Changchun,China,43.9,125.2
Zhumadian,Zhumadian,China,32.9773,114.0253
Ningbo,Ningbo,China,29.875,121.5492
Cangzhou,Cangzhou,China,38.3037,116.8452
Nanjing,Nanjing,China,32.05,118.7667
Hefei,Hefei,China,31.8639,117.2808
Ahmedabad,Ahmedabad,India,23.03,72.58
Hong Kong,Hong Kong,Hong Kong,22.305,114.185
Zhanjiang,Zhanjiang,China,21.1967,110.4031
Shaoyang,Shaoyang,China,27.2418,111.4725
Hengyang,Hengyang,China,26.8968,112.5857
Khartoum,Khartoum,Sudan,15.6031,32.5265
Nantong,Nantong,China,31.9829,120.8873
Yancheng,Yancheng,China,33.3936,120.1339
Nanning,Nanning,China,22.8192,108.315
Xi’an,Xi'an,China,34.2667,108.9
Shenyang,Shenyang,China,41.8039,123.4258
Tangshan,Tangshan,China,39.6292,118.1742
Santiago,Santiago,Chile,-33.45,-70.6667
Zhengzhou,Zhengzhou,China,34.7492,113.6605
Shangqiu,Shangqiu,China,34.4259,115.6467
Yantai,Yantai,China,37.3997,121.2664
Riyadh,Riyadh,Saudi Arabia,24.65,46.71
Dar es Salaam,Dar es Salaam,Tanzania,-6.8,39.2833
Xinyang,Xinyang,China,32.1264,114.0672
Shangrao,Shangrao,China,28.4419,117.9633
Luoyang,Luoyang,China,34.6587,112.4245
Bijie,Bijie,China,27.3019,105.2863
Quanzhou,Quanzhou,China,24.9139,118.5858
Hangzhou,Hangzhou,China,30.25,120.1675
Miami,Miami,United States,25.7839,-80.2102
Huanggang,Huanggang,China,30.45,114.875
Maoming,Maoming,China,21.6618,110.9178
Kunming,Kunming,China,25.0433,102.7061
Nanchong,Nanchong,China,30.7991,106.0784
Zunyi,Zunyi,China,27.705,106.9336
Jieyang,Jieyang,China,23.5533,116.3649
Lu’an,Lu'an,China,31.7542,116.5078
Yichun,Yichun,China,27.8041,114.383
Madrid,Madrid,Spain,40.4167,-3.7167
Changde,Changde,China,29.0397,111.6839
Taizhou,Taizhou,China,28.6583,121.4221
Liaocheng,Liaocheng,China,36.45,115.9833
Qujing,Qujing,China,25.5102,103.8029
Sūrat,Surat,India,21.17,72.83
Baghdad,Baghdad,Iraq,33.35,44.4167
Qingdao,Qingdao,China,36.1167,120.4
Singapore,Singapore,Singapore,1.3,103.8
Dallas,Dallas,United States,32.7936,-96.7662
Dazhou,Dazhou,China,31.2152,107.4947
Suzhou,Suzhou,China,33.6333,116.9683
Xiangyang,Xiangyang,China,32.0654,112.1531
Philadelphia,Philadelphia,United States,40.0077,-75.1339
Giza,Giza,Egypt,29.987,31.2118
Nairobi,Nairobi,Kenya,-1.2864,36.8172
Nangandao,Nangandao,China,35.2992,113.8851
Ankara,Ankara,Turkey,39.93,32.85
Tai’an,Tai'an,China,36.2001,117.0809
Yulin,Yulin,China,22.6293,110.1507
Dezhou,Dezhou,China,37.4513,116.3105
Houston,Houston,United States,29.7863,-95.3889
Atlanta,Atlanta,United States,33.7627,-84.4224
Yongzhou,Yongzhou,China,26.4515,111.5953
Rangoon,Rangoon,Myanmar,16.8,96.15
Toronto,Toronto,Canada,43.7417,-79.3733
Suihua,Suihua,China,46.6384,126.9808
Washington,Washington,United States,38.9047,-77.0163
Qiqihar,Qiqihar,China,47.3398,123.9512
Jinhua,Jinhua,China,29.1046,119.6494
Saint Petersburg,Saint Petersburg,Russia,59.95,30.3167
Shantou,Shantou,China,23.3735,116.6941
Sydney,Sydney,Australia,-33.865,151.2094
Weinan,Weinan,China,34.4996,109.4684
Suqian,Suqian,China,33.9331,118.2831
Guadalajara,Guadalajara,Mexico,20.6767,-103.3475
Suzhou,Suzhou,China,31.304,120.6164
Fuzhou,Fuzhou,China,26.0769,119.2917
Zhaotong,Zhaotong,China,27.3328,103.7144
Pudong,Pudong,China,31.2231,121.5397
Belo Horizonte,Belo Horizonte,Brazil,-19.9281,-43.9419
Zhangzhou,Zhangzhou,China,24.5093,117.6612
Bozhou,Bozhou,China,33.8626,115.7742
Melbourne,Melbourne,Australia,-37.8136,144.9631
Nanchang,Nanchang,China,28.6842,115.8872
Xianyang,Xianyang,China,34.35,108.7167
Taizhou,Taizhou,China,32.4831,119.9
Surabaya,Surabaya,Indonesia,-7.2458,112.7378
Abidjan,Abidjan,Côte D’Ivoire,5.3364,-4.0267
Huaihua,Huaihua,China,27.5494,109.9592
Ji’an,Ji'an,China,27.1172,114.9793
Mianyang,Mianyang,China,31.4669,104.7385
Xiaoganzhan,Xiaoganzhan,China,30.9273,113.911
Shaoxing,Shaoxing,China,30,120.5833
Alexandria,Alexandria,Egypt,31.2,29.9167
Yuncheng,Yuncheng,China,35.0304,110.998
Pingdingshan,Pingdingshan,China,33.735,113.2999
Huizhou,Huizhou,China,23.1115,114.4152
Huai’an,Huai'an,China,33.5,119.1331
Xinpu,Xinpu,China,34.5906,119.1801
Chenzhou,Chenzhou,China,25.7989,113.0267
Guilin,Guilin,China,25.2667,110.2833
Jiujiang,Jiujiang,China,29.7048,116.0021
Anqing,Anqing,China,30.5,117.0333
Boston,Boston,United States,42.3188,-71.0846
Huanglongsi,Huanglongsi,China,34.7936,114.3403
Jiangmen,Jiangmen,China,22.5833,113.0833
Changzhou,Changzhou,China,31.8122,119.9692
Barcelona,Barcelona,Spain,41.3825,2.1769
Wuxi,Wuxi,China,31.5667,120.2833
Zibo,Zibo,China,36.7831,118.0497
Jiaxing,Jiaxing,China,30.7522,120.75
Dalian,Dalian,China,38.9,121.6
Hengshui,Hengshui,China,37.7348,115.686
Harbin,Harbin,China,45.75,126.6333
Yangzhou,Yangzhou,China,32.3912,119.4363
Yibin,Yibin,China,28.7596,104.64
Johannesburg,Johannesburg,South Africa,-26.2044,28.0416
Yiyang,Yiyang,China,28.5833,112.3333
Meizhou,Meizhou,China,24.2998,116.1191
Chifeng,Chifeng,China,42.2663,118.9223
Casablanca,Casablanca,Morocco,33.5992,-7.62
Guiyang,Guiyang,China,26.5794,106.7078
Langfang,Langfang,China,39.5196,116.7006
Zhangjiakou,Zhangjiakou,China,40.8108,114.8811
İzmir,Izmir,Turkey,38.4127,27.1384
Linfen,Linfen,China,36.0812,111.5087
Wenzhou,Wenzhou,China,27.9991,120.6561
Monterrey,Monterrey,Mexico,25.6667,-100.3
Luzhou,Luzhou,China,28.8918,105.4409
Jiangguanchi,Jiangguanchi,China,34.0244,113.8201
Neijiang,Neijiang,China,29.5872,105.0635
Phoenix,Phoenix,United States,33.5722,-112.0891
Yanjiang,Yanjiang,China,30.1256,104.6397
Zhaoqing,Zhaoqing,China,23.05,112.4667
Xiaoxita,Xiaoxita,China,30.7083,111.2803
Guigang,Guigang,China,23.0961,109.6092
Xiamen,Xiamen,China,24.4797,118.0819
Chuzhou,Chuzhou,China,32.3062,118.3115
Fuzhou,Fuzhou,China,27.9814,116.3577
Zhuzhou,Zhuzhou,China,27.8407,113.1469
Amman,Amman,Jordan,31.95,35.9333
Jeddah,Jeddah,Saudi Arabia,21.5428,39.1728
Loudi,Loudi,China,27.7378,111.9974
Deyang,Deyang,China,31.1289,104.395
Qingyuan,Qingyuan,China,23.6842,113.0507
Wuhu,Wuhu,China,31.334,118.3622
Hechi,Hechi,China,23.0965,109.6091
Seattle,Seattle,United States,47.6211,-122.3244
Binzhou,Binzhou,China,37.3806,118.0125
Yokohama,Yokohama,Japan,35.4333,139.6333
Liuzhou,Liuzhou,China,24.3264,109.4281
Baojishi,Baojishi,China,34.3609,107.1751
Guang’an,Guang'an,China,30.4673,106.6336
Hanzhong,Hanzhong,China,33.0794,107.026
Kabul,Kabul,Afghanistan,34.5328,69.1658
Zaozhuang,Zaozhuang,China,34.8667,117.55
Berlin,Berlin,Germany,52.5167,13.3833
Anshan,Anshan,China,41.1066,122.9895
Lanzhou,Lanzhou,China,36.0617,103.8318
Chengde,Chengde,China,40.9739,117.9322
San Francisco,San Francisco,United States,37.7562,-122.443
Puyang,Puyang,China,35.7639,115.03
Suining,Suining,China,30.5098,105.5737
Jiaozuo,Jiaozuo,China,35.229,113.2304
Bengbu,Bengbu,China,32.9354,117.3531
Montréal,Montreal,Canada,45.5089,-73.5617
Detroit,Detroit,United States,42.3834,-83.1024
Baicheng,Baicheng,China,23.901,106.6194
Busan,Busan,"Korea, South",35.1,129.0403
Algiers,Algiers,Algeria,36.7764,3.0586
Qincheng,Qincheng,China,34.5809,105.7311
Taiyuan,Taiyuan,China,37.8733,112.5425
Shiyan,Shiyan,China,32.6351,110.7755
Lucknow,Lucknow,India,26.847,80.947
Chaoyang,Chaoyang,China,41.5757,120.4486
Hechi,Hechi,China,24.6928,108.085
Leshan,Leshan,China,29.5854,103.7575
Yulinshi,Yulinshi,China,38.2655,109.7388
Siping,Siping,China,43.1715,124.3644
Zhongshan,Zhongshan,China,22.5333,113.35
Changzhi,Changzhi,China,36.1953,113.097
San Diego,San Diego,United States,32.8312,-117.1225
Faisalabad,Faisalabad,Pakistan,31.418,73.079
Santa Cruz,Santa Cruz,Bolivia,-17.7892,-63.1975
Qinhuangdao,Qinhuangdao,China,39.9398,119.5881
Bazhou,Bazhou,China,31.8576,106.7559
Zhenjiang,Zhenjiang,China,32.2109,119.4551
Ürümqi,Urumqi,China,43.8225,87.6125
Tongliao,Tongliao,China,43.6172,122.264
Heyuan,Heyuan,China,23.7503,114.6923
Tongren,Tongren,China,27.7233,109.1885
Qinzhou,Qinzhou,China,21.95,108.6167
Jaipur,Jaipur,India,26.9167,75.8667
Xinzhou,Xinzhou,China,38.4178,112.7233
Addis Ababa,Addis Ababa,Ethiopia,9.0272,38.7369
Meishan,Meishan,China,30.0575,103.8381
Brasília,Brasilia,Brazil,-15.7939,-47.8828
Mashhad,Mashhad,Iran,36.3069,59.6042
Jinzhou,Jinzhou,China,41.1144,121.1292
Tieling,Tieling,China,42.2841,123.8365
Shaoguan,Shaoguan,China,24.8011,113.5927
Kuwait City,Kuwait City,Kuwait,29.375,47.98
Shanwei,Shanwei,China,22.7664,115.3331
Minneapolis,Minneapolis,United States,44.9635,-93.2678
Kyiv,Kyiv,Ukraine,50.45,30.5236
Sanaa,Sanaa,Yemen,15.35,44.2
Quezon City,Quezon City,Philippines,14.6333,121.0333
Dingxi,Dingxi,China,35.5806,104.6263
Incheon,Incheon,"Korea, South",37.4639,126.6486
Bursa,Bursa,Turkey,40.1833,29.0667
Ningde,Ningde,China,26.6667,119.5167
Tampa,Tampa,United States,27.9942,-82.4451
Daqing,Daqing,China,46.5979,125.008
Birmingham,Birmingham,United Kingdom,52.48,-1.9025
Putian,Putian,China,25.4394,119.0103
Huzhou,Huzhou,China,30.8695,120.0958
Salvador,Salvador,Brazil,-12.9708,-38.5108
Wuzhou,Wuzhou,China,23.4833,111.3167
Xiangtan,Xiangtan,China,27.8431,112.9228
Denver,Denver,United States,39.7621,-104.8759
Rome,Rome,Italy,41.8931,12.4828
La Paz,La Paz,Bolivia,-16.4942,-68.1475
Pyongyang,Pyongyang,"Korea, North",39.03,125.73
Kano,Kano,Nigeria,12,8.5167
Taichung,Taichung,Taiwan,24.15,120.6667
Omdurman,Omdurman,Sudan,15.6835,32.4629
Zigong,Zigong,China,29.3498,104.7645
Mudanjiang,Mudanjiang,China,44.5861,129.5997
Huludao,Huludao,China,40.7094,120.8378
Kaohsiung,Kaohsiung,Taiwan,22.6167,120.3
Guayaquil,Guayaquil,Ecuador,-2.1833,-79.8833
Rizhao,Rizhao,China,35.4164,119.4331
Manchester,Manchester,United Kingdom,53.4794,-2.2453
Cawnpore,Cawnpore,India,26.4725,80.3311
Baotou,Baotou,China,40.6562,109.8345
Taipei,Taipei,Taiwan,25.0478,121.5319
Nanping,Nanping,China,26.6448,118.1728
Chaozhou,Chaozhou,China,23.67,116.63
Longyan,Longyan,China,25.0881,117.0244
Ibadan,Ibadan,Nigeria,7.3964,3.9167
Hohhot,Hohhot,China,40.8151,111.6629
Antananarivo,Antananarivo,Madagascar,-18.9386,47.5214
Longba,Longba,China,33.535,105.349
Weihai,Weihai,China,37.5,122.1
Chattogram,Chattogram,Bangladesh,22.335,91.8325
Santo Domingo,Santo Domingo,Dominican Republic,18.4764,-69.8933
Xuanzhou,Xuanzhou,China,30.9475,118.7518
Sanming,Sanming,China,26.2658,117.6302
Brooklyn,Brooklyn,United States,40.6501,-73.9496
Yangjiang,Yangjiang,China,21.8556,111.9627
Medellín,Medellin,Colombia,6.2447,-75.5748
Yunfu,Yunfu,China,22.9242,112.0353
Brisbane,Brisbane,Australia,-27.4678,153.0281
Baoshan,Baoshan,China,25.1211,99.169
Dubai,Dubai,United Arab Emirates,25.2697,55.3094
Luohe,Luohe,China,33.583,114.0109
Qinbaling,Qinbaling,China,35.7278,107.64
Mirzāpur,Mirzapur,India,25.15,82.58
Guangyuan,Guangyuan,China,32.4353,105.8398
Cali,Cali,Colombia,3.44,-76.5197
Huangshi,Huangshi,China,30.2018,115.0326
Daegu,Daegu,"Korea, South",35.8667,128.6
Fortaleza,Fortaleza,Brazil,-3.7275,-38.5275
Guatemala City,Guatemala City,Guatemala,14.6099,-90.5252
Yaoundé,Yaounde,Cameroon,3.8578,11.5181
Douala,Douala,Cameroon,4.05,9.7
Jilin,Jilin,China,43.85,126.55
Lianshan,Lianshan,China,40.7503,120.83
Lincang,Lincang,China,23.8864,100.0871
Antalya,Antalya,Turkey,36.9081,30.6956
Tashkent,Tashkent,Uzbekistan,41.3,69.2667
Bandung,Bandung,Indonesia,-6.95,107.5667
Nāgpur,Nagpur,India,21.1539,79.0831
Huainan,Huainan,China,32.4831,117.0164
Dandong,Dandong,China,40.1167,124.3833
Shangzhou,Shangzhou,China,33.868,109.9244
Bekasi,Bekasi,Indonesia,-6.2333,107
Ghāziābād,Ghaziabad,India,28.6667,77.4167
Tijuana,Tijuana,Mexico,32.525,-117.0333
Jiamusi,Jiamusi,China,46.8081,130.3653
Accra,Accra,Ghana,5.6037,-0.187
Yuxi,Yuxi,China,24.3495,102.5432
Anshun,Anshun,China,26.2456,105.934
Vancouver,Vancouver,Canada,49.25,-123.1
Tangerang,Tangerang,Indonesia,-6.1783,106.6319
Konya,Konya,Turkey,37.8714,32.4847
Queens,Queens,United States,40.7498,-73.7976
Yingkou,Yingkou,China,40.6653,122.2297
Adana,Adana,Turkey,37,35.325
Medan,Medan,Indonesia,3.6667,98.6667
Sanmenxia,Sanmenxia,China,34.7736,111.195
Indore,Indore,India,22.7206,75.8472
Ma’anshan,Ma'anshan,China,31.7135,118.3605
Pingliang,Pingliang,China,35.5412,106.6819
Quzhou,Quzhou,China,28.9545,118.8763
Baku,Baku,Azerbaijan,40.3667,49.8352
Gaoping,Gaoping,China,30.7804,106.13
Huaibei,Huaibei,China,33.9562,116.789
Xining,Xining,China,36.6239,101.7787
Harare,Harare,Zimbabwe,-17.8292,31.0522
Yan’an,Yan'an,China,36.5952,109.4863
Havana,Havana,Cuba,23.1367,-82.3589
Phnom Penh,Phnom Penh,Cambodia,11.5696,104.921
Fukuoka,Fukuoka,Japan,33.6,130.4167
Mogadishu,Mogadishu,Somalia,2.0408,45.3425
Jincheng,Jincheng,China,35.4906,112.8483
Puning,Puning,China,23.2993,116.1586
Lishui,Lishui,China,28.45,119.9167
Qingyang,Qingyang,China,24.8141,118.5792
Riverside,Riverside,United States,33.9381,-117.3948
Baltimore,Baltimore,United States,39.3051,-76.6144
Haiphong,Haiphong,Vietnam,20.8,106.6667
Las Vegas,Las Vegas,United States,36.2333,-115.2654
Laibin,Laibin,China,23.7333,109.2333
Rawalpindi,Rawalpindi,Pakistan,33.6007,73.0679
Kumasi,Kumasi,Ghana,6.6833,-1.6167
Portland,Portland,United States,45.5372,-122.65
Vadodara,Vadodara,India,22.3,73.2
Perth,Perth,Australia,-31.9522,115.8589
San Antonio,San Antonio,United States,29.4658,-98.5253
Vishākhapatnam,Vishakhapatnam,India,17.7333,83.3167
Gujranwala,Gujranwala,Pakistan,32.15,74.1833
Gaziantep,Gaziantep,Turkey,37.0667,37.3833
Fushun,Fushun,China,41.8708,123.8917
St. Louis,St. Louis,United States,38.6358,-90.2451
Bamako,Bamako,Mali,12.6458,-7.9922
Quito,Quito,Ecuador,-0.2186,-78.5097
Minsk,Minsk,Belarus,53.9022,27.5618
Pingxiang,Pingxiang,China,27.6333,113.85
Chongzuo,Chongzuo,China,22.4167,107.3667
Şanlıurfa,Sanliurfa,Turkey,37.1583,38.7917
Kananga,Kananga,Congo (Kinshasa),-5.897,22.4488
Peshawar,Peshawar,Pakistan,34,71.5
Sapporo,Sapporo,Japan,43.0621,141.3544
Hezhou,Hezhou,China,24.4164,111.5478
Jixi,Jixi,China,45.2937,130.965
Caracas,Caracas,Venezuela,10.5,-66.9333
Fuxin,Fuxin,China,42.0127,121.6486
Aleppo,Aleppo,Syria,36.2,37.15
Almaty,Almaty,Kazakhstan,43.25,76.9
Dayr az Zawr,Dayr az Zawr,Syria,35.3333,40.15
Vienna,Vienna,Austria,48.2083,16.3731
Leeds,Leeds,United Kingdom,53.7997,-1.5492
Sacramento,Sacramento,United States,38.5667,-121.4683
Blantyre,Blantyre,Malawi,-15.7861,35.0058
Tainan,Tainan,Taiwan,22.9833,120.1833
Zhuhai,Zhuhai,China,22.2769,113.5678
Bucharest,Bucharest,Romania,44.4,26.0833
Wuwei,Wuwei,China,37.9278,102.6329
Bhopāl,Bhopal,India,23.25,77.4167
Curitiba,Curitiba,Brazil,-25.4297,-49.2719
Multan,Multan,Pakistan,30.1978,71.4711
Xiping,Xiping,China,40.08,113.3
Asunción,Asuncion,Paraguay,-25.3,-57.6333
Saidu Sharif,Saidu Sharif,Pakistan,34.75,72.3572
Hamburg,Hamburg,Germany,53.55,10
Meru,Meru,Kenya,0.05,37.65
Brazzaville,Brazzaville,Congo (Brazzaville),-4.2667,15.2833
Orlando,Orlando,United States,28.4772,-81.3369
Mersin,Mersin,Turkey,36.8,34.6167
Kyōto,Kyoto,Japan,35.0111,135.7669
Manaus,Manaus,Brazil,-3.1,-60.0167
Liaoyang,Liaoyang,China,41.2643,123.1772
Baiyin,Baiyin,China,36.5448,104.1766
San Jose,San Jose,United States,37.3019,-121.8486
Warsaw,Warsaw,Poland,52.2167,21.0333
Shengli,Shengli,China,37.45,118.4667
Lubumbashi,Lubumbashi,Congo (Kinshasa),-11.6697,27.4581
Haikou,Haikou,China,20.02,110.32
Damascus,Damascus,Syria,33.5131,36.2919
Shuyangzha,Shuyangzha,China,34.1299,118.7734
Brussels,Brussels,Belgium,50.8333,4.3333
Eşfahān,Esfahan,Iran,32.6447,51.6675
Budapest,Budapest,Hungary,47.4983,19.0408
Heihe,Heihe,China,50.2458,127.4886
Lusaka,Lusaka,Zambia,-15.4167,28.2833
Hyderabad City,Hyderabad City,Pakistan,25.3792,68.3683
Diyarbakır,Diyarbakir,Turkey,37.9108,40.2367
Chinchvad,Chinchvad,India,18.6278,73.8131
Shuozhou,Shuozhou,China,39.3408,112.4292
Cleveland,Cleveland,United States,41.4767,-81.6804
Pittsburgh,Pittsburgh,United States,40.4396,-79.9762
Patna,Patna,India,25.61,85.1414
Mosul,Mosul,Iraq,36.3667,43.1167
Austin,Austin,United States,30.3004,-97.7522
Sanzhou,Sanzhou,China,30.82,108.4
Mecca,Mecca,Saudi Arabia,21.4225,39.8261
Conakry,Conakry,Guinea,9.5092,-13.7122
Kampala,Kampala,Uganda,0.3136,32.5811
Ecatepec,Ecatepec,Mexico,19.6097,-99.06
Cincinnati,Cincinnati,United States,39.1413,-84.5061
Makassar,Makassar,Indonesia,-5.1331,119.4136
Yushan,Yushan,China,31.3867,120.9766
Ludhiāna,Ludhiana,India,30.9083,75.8486
Newcastle,Newcastle,United Kingdom,55.0077,-1.6578
Depok,Depok,Indonesia,-6.394,106.8225
Zhongli,Zhongli,Taiwan,24.965,121.2168
Kansas City,Kansas City,United States,39.1239,-94.5541
Ouagadougou,Ouagadougou,Burkina Faso,12.3572,-1.5353
Davao,Davao,Philippines,7.0667,125.6
Manhattan,Manhattan,United States,40.7834,-73.9662
Semarang,Semarang,Indonesia,-6.9667,110.4167
Yinchuan,Yinchuan,China,38.4795,106.2254
Caloocan City,Caloocan City,Philippines,14.65,120.9667
Novosibirsk,Novosibirsk,Russia,55.0333,82.9167
Chengtangcun,Chengtangcun,China,35.0833,117.15
Āgra,Agra,India,27.18,78.02
Karaj,Karaj,Iran,35.8327,50.9915
Indianapolis,Indianapolis,United States,39.7771,-86.1458
Jingdezhen,Jingdezhen,China,29.2942,117.2036
Puebla,Puebla,Mexico,19.0333,-98.1833
Kalyān,Kalyan,India,19.2502,73.1602
Madurai,Madurai,India,9.9197,78.1194
Benxi,Benxi,China,41.292,123.761
Jamshedpur,Jamshedpur,India,22.8,86.1833
Recife,Recife,Brazil,-8.0539,-34.8808
Columbus,Columbus,United States,39.9862,-82.985
Tabrīz,Tabriz,Iran,38.0833,46.2833
Maracaibo,Maracaibo,Venezuela,10.6333,-71.6333
Zhangjiajie,Zhangjiajie,China,29.1255,110.4844
Beihai,Beihai,China,21.4667,109.1
Shuangyashan,Shuangyashan,China,46.6388,131.1545
Kōbe,Kobe,Japan,34.6913,135.183
Charlotte,Charlotte,United States,35.208,-80.8304
Yucheng,Yucheng,China,29.9888,103.0007
Changshu,Changshu,China,31.65,120.7333
Lianjiang,Lianjiang,China,21.6146,110.2794
Ximeicun,Ximeicun,China,24.9633,118.3811
Jianguang,Jianguang,China,28.1958,115.7833
Madīnat as Sādis min Uktūbar,Madinat as Sadis min Uktubar,Egypt,29.9361,30.9269
Xushan,Xushan,China,30.1697,121.2665
Belém,Belem,Brazil,-1.4558,-48.5039
Guiping,Guiping,China,23.4,110.0833
Leizhou,Leizhou,China,20.9147,110.0806
Gwangju,Gwangju,"Korea, South",35.1667,126.9167
Nāsik,Nasik,India,20,73.7833
Porto Alegre,Porto Alegre,Brazil,-30.0328,-51.23
Valencia,Valencia,Venezuela,10.1667,-68
Onitsha,Onitsha,Nigeria,6.1667,6.7833
Virginia Beach,Virginia Beach,United States,36.7335,-76.0435
Daejeon,Daejeon,"Korea, South",36.351,127.385
Munich,Munich,Germany,48.1372,11.5755
Auckland,Auckland,New Zealand,-36.85,174.7833
Yekaterinburg,Yekaterinburg,Russia,56.8356,60.6128
Huangshan,Huangshan,China,29.7132,118.3151
Huazhou,Huazhou,China,32.6889,112.0447
Shīrāz,Shiraz,Iran,29.61,52.5425
Pizhou,Pizhou,China,34.3422,118.0097
Palembang,Palembang,Indonesia,-2.9833,104.7644
León de los Aldama,Leon de los Aldama,Mexico,21.1167,-101.6833
El Kelaa des Srarhna,El Kelaa des Srarhna,Morocco,32.05,-7.4
Kharkiv,Kharkiv,Ukraine,50,36.2292
Kawanakajima,Kawanakajima,Japan,35.53,139.705
Yangshe,Yangshe,China,31.8775,120.5512
Chizhou,Chizhou,China,30.6583,117.4849
Guyuan,Guyuan,China,36.008,106.2782
Rui’an,Rui'an,China,27.778,120.6526
Birstall,Birstall,United Kingdom,52.6736,-1.12
Muscat,Muscat,Oman,23.6139,58.5922
Hebi,Hebi,China,35.7497,114.2887
Bronx,Bronx,United States,40.8501,-73.8662
Gaozhou,Gaozhou,China,21.9135,110.8481
The Hague,The Hague,Netherlands,52.0767,4.2986
Owerri,Owerri,Nigeria,5.4833,7.0333
Sharjah,Sharjah,United Arab Emirates,25.3575,55.3919
Farīdābād,Faridabad,India,28.4333,77.3167
Ulaanbaatar,Ulaanbaatar,Mongolia,47.9203,106.9172
Goiânia,Goiania,Brazil,-16.6806,-49.2564
Kayseri,Kayseri,Turkey,38.7333,35.4833
Yueqing,Yueqing,China,28.1188,120.9621
Belgrade,Belgrade,Serbia,44.8167,20.4667
Pingdu,Pingdu,China,36.7833,119.9556
Milan,Milan,Italy,45.4669,9.19
Aurangābād,Aurangabad,India,19.88,75.32
Yutan,Yutan,China,28.3147,112.554
Wenling,Wenling,China,28.3797,121.3718
Milwaukee,Milwaukee,United States,43.0642,-87.9673
Sofia,Sofia,Bulgaria,42.6979,23.3217
Adelaide,Adelaide,Australia,-34.9289,138.6011
Prague,Prague,Czechia,50.0833,14.4167
Samsun,Samsun,Turkey,41.2867,36.33
Rājkot,Rajkot,India,22.2969,70.7984
Liangshi,Liangshi,China,27.2578,111.7351
Khulna,Khulna,Bangladesh,22.8167,89.55
Córdoba,Cordoba,Argentina,-31.4167,-64.1833
Guarulhos,Guarulhos,Brazil,-23.4667,-46.5333
Juárez,Juarez,Mexico,31.7386,-106.487
Saitama,Saitama,Japan,35.8617,139.6453
Montevideo,Montevideo,Uruguay,-34.8667,-56.1667
Mbuji-Mayi,Mbuji-Mayi,Congo (Kinshasa),-6.1209,23.5967
Fuqing,Fuqing,China,25.7232,119.3735
